,ASrNo,Business Name,Add,UniqueId,F_Pincode,new_Add_3,raw_address,country,words_in_address,pin_codes_found,states_found,street_names_found,landmarks_found,shop_house_nos_found,districts_found,village_or_citys_found
46,2542,Moti Mahal Resturants,"3704, Netaji Subhash Marg, Daryaganj, Darya Ganj, Central",ICL07357062,110002,"3704, Netaji Subhash Marg, Daryaganj, Darya Ganj, Central","3704, netaji subhash marg, daryaganj, darya ganj, central",india,"['daryaganj', '3704', 'darya ganj', 'netaji subhash marg', 'central']",,,Netaji subhash marg,,,,
47,2547,Alam restaurant,"Shop No 26, Garya Ganj, L.P.Estate, Central Delhi",ICL06277921,110002,"Shop No 26, Garya Ganj, L.P.Estate, Central Delhi","shop no 26, garya ganj, l.p.estate, central delhi",india,"['l.p.estate', 'central delhi', 'shop no 26', 'garya ganj']",,NCT of Delhi,,,Shop no 26,,
48,20022,Prakash Restaurant,"Main Daryagang Nearthana, Daryagang, Darya Ganj, Central",ICL25509958,110002,"Main Daryagang Nearthana, Daryagang, Darya Ganj, Central","main daryagang nearthana, daryagang, darya ganj, central",india,"['central', 'main daryagang nearthana', 'daryagang', 'darya ganj']",,,,Main daryagang nearthana,,,
49,20161,MILAN RESTOURENT,"Shop No -2085, Ganj Meer Khan Asif Ali Road, Darya Ganj, Central",ICL04901248,110002,"Shop No -2085, Ganj Meer Khan Asif Ali Road, Darya Ganj, Central","shop no -2085, ganj meer khan asif ali road, darya ganj, central",india,"['shop no -2085', 'ganj meer khan asif ali road', 'central', 'darya ganj']",,,Ganj meer khan asif ali road,,Shop no -2085,,
50,4352,Surya narayan garments,"Daryaganj, Main Market, Darya Ganj, Central",ICL42690534,110002,"Daryaganj, Main Market, Darya Ganj, Central","daryaganj, main market, darya ganj, central",india,"['daryaganj', 'main market', 'central', 'darya ganj']",,,,,,,
51,4361,Sham Electronic,"Jaypee, 4842, Ansari Road, Daryaganj, Darya Ganj, Central District, New Delhii",ICL02577448,110002,"Jaypee, 4842, Ansari Road, Daryaganj, Darya Ganj, Central District, New Delhi","jaypee, 4842, ansari road, daryaganj, darya ganj, central district, new delhii",india,"['4842', 'daryaganj', 'central district', 'darya ganj', 'new delhii', 'ansari road', 'jaypee']",,NCT of Delhi,Ansari road,,,Central district,
52,4446,Elgin electronics pvt ltd,"Ground Floor, 74, Daryaganj, Darya Ganj, Central Delhi",ICL03589714,110002,"Ground Floor, 74, Daryaganj, Darya Ganj, Central Delhi","ground floor, 74, daryaganj, darya ganj, central delhi",india,"['daryaganj', 'darya ganj', '74', 'central delhi', 'ground floor']",,NCT of Delhi,,,,,
53,4447,Rajesh garments,"Darya Ganj Khucha Dikhni Rai, Khucha, Dhikni, Darya Ganj, Central",ICL43079172,110002,"Darya Ganj Khucha Dikhni Rai, Khucha, Dhikni, Darya Ganj, Central","darya ganj khucha dikhni rai, khucha, dhikni, darya ganj, central",india,"['dhikni', 'darya ganj khucha dikhni rai', 'khucha', 'darya ganj', 'central']",,,,,,,
54,4581,FM Electronics,"9966 2527 Tihara Behram Khan, Daryaganj, Darya Ganj, Central",ICL05943869,110002,"9966 2527 Tihara Behram Khan, Daryaganj, Darya Ganj, Central","9966 2527 tihara behram khan, daryaganj, darya ganj, central",india,"['daryaganj', 'darya ganj', 'central', '9966 2527 tihara behram khan']",,,,,,,
55,4582,SALEES AHMED GARMENTS,"Shop No -632, Rag Mahal Kajmel Khan, Darya Ganj, Central",ICL00976186,110002,"Shop No -632, Rag Mahal Kajmel Khan, Darya Ganj, Central","shop no -632, rag mahal kajmel khan, darya ganj, central",india,"['rag mahal kajmel khan', 'central', 'darya ganj', 'shop no -632']",,,,,Shop no -632,,
56,4601,Mueed Garments shop,"Shop No-453, Main Baza Chitli Qabar, Darya Ganj, Central",ICL22366667,110002,"Shop No-453, Main Baza Chitli Qabar, Darya Ganj, Central","shop no-453, main baza chitli qabar, darya ganj, central",india,"['main baza chitli qabar', 'shop no-453', 'central', 'darya ganj']",,,,,Shop no-453,,
57,4604,New national electronics,"3697-1 Netaji Subhash Marg, Daryaganj, Darya Ganj, Central",ICL02677459,110002,"3697-1 Netaji Subhash Marg, Daryaganj, Darya Ganj, Central","3697-1 netaji subhash marg, daryaganj, darya ganj, central",india,"['3697-1 netaji subhash marg', 'daryaganj', 'central', 'darya ganj']",,,3697-1 netaji subhash marg,,,,
58,4615,AsifGarments,"Shop No-2550, Tiraha Behram Khan, Darya Ganj, Central",ICL04460479,110002,"Shop No-2550, Tiraha Behram Khan, Darya Ganj, Central","shop no-2550, tiraha behram khan, darya ganj, central",india,"['shop no-2550', 'tiraha behram khan', 'central', 'darya ganj']",,,,,Shop no-2550,,
59,4655,Mohd Raza electronic,"95051, Mohan Birij Road, Civic Centre, New Delhii",ICL24454189,110002,"95051, Mohan Birij Road, Civic Centre, New Delhi","95051, mohan birij road, civic centre, new delhii",india,"['civic centre', '95051', 'new delhii', 'mohan birij road']",,NCT of Delhi,Mohan birij road,,,,
60,4668,Ubesh Garments Shop,"Shop No-2452, Chandni Mahal Darya Ganj, Darya Ganj, Central",ICL30908546,110002,"Shop No-2452, Chandni Mahal Darya Ganj, Darya Ganj, Central","shop no-2452, chandni mahal darya ganj, darya ganj, central",india,"['chandni mahal darya ganj', 'darya ganj', 'central', 'shop no-2452']",,,,,Shop no-2452,,
